epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4713,1.29467,3.12223,1.20022,0.02753,0.3743,0.31106,0.23048,1.07979,2.93388,1.15628,0.00010002,0.00010002,0.00010002
2,19.8181,1.09053,2.5505,1.04023,0.02931,0.56884,0.45589,0.34321,0.8013,2.76058,0.9451,0.000212419,0.000212419,0.000212419
3,26.4398,0.89655,1.84678,0.94899,0.02764,0.46927,0.41727,0.31629,0.86194,2.7156,0.98714,0.000320197,0.000320197,0.000320197
4,32.8616,0.82862,1.36809,0.94402,0.0249,0.42179,0.37075,0.29866,0.81111,2.71071,0.94178,0.000423355,0.000423355,0.000423355
5,38.9668,0.77734,1.06911,0.9164,0.03726,0.6129,0.49916,0.379,0.80378,2.53747,0.91764,0.000521891,0.000521891,0.000521891
6,45.0486,0.77003,0.88472,0.92884,0.04045,0.5428,0.42602,0.28893,0.84632,2.7117,1.01367,0.000615806,0.000615806,0.000615806
7,51.6414,0.73906,0.79516,0.91272,1,0.3603,0.47512,0.36259,0.82735,2.52574,0.9626,0.000705101,0.000705101,0.000705101
8,58.186,0.72777,0.76379,0.91292,1,0.16858,0.52095,0.41509,0.77307,2.27439,0.92593,0.000789775,0.000789775,0.000789775
9,64.8506,0.66753,0.70218,0.88305,1,0.28788,0.77198,0.6236,0.6862,2.12603,0.87626,0.000869827,0.000869827,0.000869827
10,71.56,0.66778,0.71399,0.88443,1,0.36291,0.87045,0.69986,0.7075,1.98509,0.89091,0.000945259,0.000945259,0.000945259
11,78.1675,0.64824,0.66558,0.87266,1,0.49171,0.93833,0.76257,0.59753,1.54117,0.87169,0.00101607,0.00101607,0.00101607
12,84.3019,0.59634,0.61936,0.85708,0.98799,0.74504,0.98318,0.81895,0.58051,1.07065,0.86225,0.00108226,0.00108226,0.00108226
13,90.3819,0.60306,0.61156,0.87139,0.99463,0.81122,0.99494,0.8692,0.54998,0.97976,0.84232,0.00114383,0.00114383,0.00114383
14,96.8232,0.61518,0.62129,0.86664,0.99443,1,0.995,0.84949,0.58019,0.92047,0.8452,0.00120078,0.00120078,0.00120078
15,103.129,0.61228,0.60446,0.86055,0.99513,1,0.995,0.85871,0.60797,0.81685,0.85008,0.00120491,0.00120491,0.00120491
16,109.145,0.59808,0.60967,0.86305,0.9944,1,0.995,0.88589,0.45666,0.61094,0.82667,0.0011719,0.0011719,0.0011719
17,115.302,0.57316,0.58023,0.85535,0.98492,0.99909,0.995,0.83278,0.63823,0.58671,0.86888,0.00113889,0.00113889,0.00113889
18,121.241,0.57777,0.58404,0.85898,0.99696,1,0.995,0.86534,0.52664,0.53349,0.84854,0.00110589,0.00110589,0.00110589
19,127.169,0.55995,0.57291,0.85296,0.99838,1,0.995,0.84122,0.60666,0.53691,0.84399,0.00107288,0.00107288,0.00107288
20,133.082,0.59267,0.57754,0.85594,0.99836,1,0.995,0.87129,0.49017,0.4816,0.83198,0.00103987,0.00103987,0.00103987
21,138.975,0.55209,0.55521,0.84684,0.9974,1,0.995,0.89094,0.45017,0.45982,0.82648,0.00100687,0.00100687,0.00100687
22,144.908,0.5255,0.53553,0.84131,0.99835,1,0.995,0.88452,0.45362,0.43558,0.81694,0.000973861,0.000973861,0.000973861
23,151.546,0.52044,0.52997,0.85035,0.99745,1,0.995,0.88276,0.48686,0.44059,0.8212,0.000940855,0.000940855,0.000940855
24,157.682,0.50367,0.52097,0.83973,0.99822,1,0.995,0.87936,0.4582,0.42891,0.818,0.000907848,0.000907848,0.000907848
25,163.553,0.4804,0.49617,0.83524,0.9981,1,0.995,0.86726,0.49328,0.42342,0.83244,0.000874842,0.000874842,0.000874842
26,169.502,0.49432,0.48451,0.84425,0.99829,1,0.995,0.89635,0.41464,0.38998,0.80794,0.000841835,0.000841835,0.000841835
27,175.485,0.46387,0.49127,0.82585,0.99866,1,0.995,0.92421,0.41449,0.38624,0.80598,0.000808828,0.000808828,0.000808828
28,181.567,0.42361,0.47079,0.82005,0.99802,1,0.995,0.90471,0.39606,0.3663,0.80192,0.000775822,0.000775822,0.000775822
29,187.636,0.44438,0.47235,0.82867,0.99815,1,0.995,0.92251,0.36482,0.35096,0.79669,0.000742815,0.000742815,0.000742815
30,193.809,0.44538,0.4667,0.82269,0.99788,1,0.995,0.90793,0.42759,0.36029,0.80572,0.000709809,0.000709809,0.000709809
31,199.9,0.44004,0.44424,0.82594,0.99863,1,0.995,0.91381,0.36422,0.34457,0.7954,0.000676802,0.000676802,0.000676802
32,206.138,0.41808,0.44161,0.82265,0.99893,1,0.995,0.92189,0.41288,0.36423,0.80599,0.000643795,0.000643795,0.000643795
33,212.17,0.41429,0.44697,0.8214,0.99873,1,0.995,0.93246,0.35825,0.35234,0.79855,0.000610789,0.000610789,0.000610789
34,218.273,0.40879,0.43899,0.81715,0.99821,1,0.995,0.90218,0.40329,0.34873,0.80372,0.000577782,0.000577782,0.000577782
35,224.379,0.40614,0.43105,0.82258,0.99832,1,0.995,0.93117,0.32765,0.32685,0.79279,0.000544776,0.000544776,0.000544776
36,230.491,0.40169,0.42241,0.81882,0.99819,1,0.995,0.93683,0.31424,0.31354,0.79333,0.000511769,0.000511769,0.000511769
37,236.711,0.39056,0.41521,0.81543,0.99836,1,0.995,0.9277,0.32376,0.3151,0.79349,0.000478762,0.000478762,0.000478762
38,242.871,0.3651,0.40991,0.81374,0.99853,1,0.995,0.94568,0.30741,0.31625,0.78914,0.000445756,0.000445756,0.000445756
39,249.149,0.35507,0.39713,0.81055,0.99889,1,0.995,0.95308,0.28638,0.30208,0.78604,0.000412749,0.000412749,0.000412749
40,255.368,0.36272,0.3977,0.81012,0.99888,1,0.995,0.9486,0.28223,0.30222,0.7869,0.000379743,0.000379743,0.000379743
