epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1429,1.61364,2.07894,1.46858,0.63994,0.62286,0.63617,0.34615,1.5307,1.76983,1.44152,0.000552757,0.000552757,0.000552757
2,114.509,1.56411,1.59142,1.39899,0.683,0.54214,0.66758,0.35843,1.64541,2.49152,1.53468,0.00109745,0.00109745,0.00109745
3,172.178,1.59139,1.47313,1.41988,0.66423,0.59185,0.63687,0.32281,1.82999,1.66097,1.74303,0.00163114,0.00163114,0.00163114
4,230.649,1.56746,1.39182,1.39528,0.7538,0.68477,0.75995,0.45344,1.46085,1.3007,1.40393,0.00161749,0.00161749,0.00161749
5,289.464,1.50958,1.28227,1.37415,0.78708,0.73529,0.79274,0.46459,1.4266,1.19671,1.36103,0.00160099,0.00160099,0.00160099
6,348.268,1.45487,1.20714,1.35452,0.74198,0.54658,0.61613,0.35068,1.58177,1.61515,1.46953,0.00158448,0.00158448,0.00158448
7,406.986,1.45726,1.18266,1.35645,0.74072,0.74953,0.81385,0.4933,1.42786,1.11732,1.3844,0.00156798,0.00156798,0.00156798
8,465.667,1.40654,1.12128,1.31774,0.83332,0.70571,0.81081,0.50391,1.35464,1.08031,1.31701,0.00155148,0.00155148,0.00155148
9,524.454,1.40114,1.09393,1.30084,0.82712,0.78908,0.86788,0.52783,1.37451,1.05412,1.32751,0.00153497,0.00153497,0.00153497
10,583.511,1.37092,1.08002,1.2899,0.83805,0.75332,0.84442,0.52943,1.34457,1.07186,1.33512,0.00151847,0.00151847,0.00151847
11,642.355,1.35096,1.01935,1.2751,0.83781,0.77914,0.84694,0.531,1.301,1.01973,1.27442,0.00150197,0.00150197,0.00150197
12,700.942,1.32897,1.00237,1.27144,0.84952,0.79006,0.87705,0.52669,1.36574,0.94083,1.3011,0.00148546,0.00148546,0.00148546
13,759.766,1.29999,0.97982,1.25639,0.84552,0.80124,0.87987,0.56135,1.29336,0.89957,1.26876,0.00146896,0.00146896,0.00146896
14,818.254,1.29989,0.97021,1.25655,0.84054,0.79303,0.87809,0.54045,1.31518,0.93521,1.28841,0.00145246,0.00145246,0.00145246
15,877.283,1.29499,0.94923,1.24191,0.83913,0.82964,0.89883,0.58153,1.23804,0.89526,1.24567,0.00143595,0.00143595,0.00143595
16,936.039,1.27748,0.9357,1.25083,0.84814,0.82325,0.89817,0.56228,1.27543,0.91563,1.26314,0.00141945,0.00141945,0.00141945
17,995.235,1.2756,0.91815,1.24003,0.86354,0.79408,0.88771,0.56808,1.24667,0.8475,1.25588,0.00140295,0.00140295,0.00140295
18,1053.77,1.25199,0.87941,1.2246,0.83888,0.82358,0.89517,0.56458,1.28106,0.89265,1.27078,0.00138644,0.00138644,0.00138644
19,1112.76,1.24358,0.88982,1.22083,0.86646,0.80626,0.89665,0.57683,1.26085,0.89551,1.26903,0.00136994,0.00136994,0.00136994
20,1171.51,1.23958,0.87741,1.22147,0.82479,0.84737,0.89951,0.57604,1.22572,0.86088,1.24567,0.00135344,0.00135344,0.00135344
21,1230.5,1.23931,0.86015,1.20959,0.84414,0.86623,0.90525,0.57674,1.25499,0.82721,1.27785,0.00133693,0.00133693,0.00133693
22,1289.43,1.21815,0.84964,1.20948,0.85516,0.84933,0.90769,0.58136,1.24037,0.81518,1.26268,0.00132043,0.00132043,0.00132043
23,1348.39,1.21859,0.8527,1.21106,0.89247,0.82591,0.90834,0.57994,1.25113,0.83595,1.28275,0.00130393,0.00130393,0.00130393
24,1407.04,1.21365,0.83829,1.20676,0.89821,0.83393,0.91999,0.60461,1.20944,0.78225,1.23571,0.00128742,0.00128742,0.00128742
25,1466.03,1.20937,0.81427,1.20179,0.87459,0.83462,0.91629,0.59735,1.21747,0.78981,1.23249,0.00127092,0.00127092,0.00127092
26,1524.83,1.18554,0.79843,1.18175,0.87567,0.83143,0.90581,0.58949,1.20521,0.83582,1.2317,0.00125442,0.00125442,0.00125442
27,1583.71,1.17281,0.79327,1.18364,0.86153,0.8556,0.92091,0.60444,1.20386,0.77098,1.23243,0.00123791,0.00123791,0.00123791
28,1642.37,1.16558,0.7933,1.17643,0.86983,0.83742,0.91609,0.5858,1.22272,0.7986,1.24359,0.00122141,0.00122141,0.00122141
29,1700.79,1.14325,0.77828,1.17333,0.87121,0.86242,0.92805,0.6042,1.19514,0.7604,1.22396,0.00120491,0.00120491,0.00120491
30,1759.9,1.1606,0.78315,1.17236,0.85199,0.88952,0.93115,0.61684,1.18111,0.72417,1.21763,0.0011884,0.0011884,0.0011884
31,1818.17,1.14911,0.78237,1.18108,0.8814,0.83936,0.91874,0.60915,1.17038,0.76737,1.19945,0.0011719,0.0011719,0.0011719
32,1876.94,1.1466,0.76189,1.17382,0.85701,0.86721,0.92159,0.61343,1.1572,0.70846,1.18914,0.0011554,0.0011554,0.0011554
33,1935.58,1.12426,0.75637,1.1603,0.87305,0.85757,0.92439,0.61977,1.16488,0.70035,1.223,0.00113889,0.00113889,0.00113889
