epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.51136,1.29864,3.16509,1.2283,0.02235,0.41061,0.35308,0.26248,1.04575,2.87391,1.13176,0.00010002,0.00010002,0.00010002
2,13.1843,1.11185,2.20764,1.04154,0.9793,0.35754,0.45093,0.3355,0.96957,2.44491,1.01674,0.000212419,0.000212419,0.000212419
3,18.8054,0.90031,1.15708,0.96544,0.98776,0.33393,0.46881,0.35641,0.89159,1.95136,0.99134,0.000320197,0.000320197,0.000320197
4,24.3587,0.80242,0.9186,0.94776,1,0.26471,0.48534,0.3653,0.85084,2.10872,0.93705,0.000423355,0.000423355,0.000423355
5,30.1649,0.72613,0.80826,0.89069,0.96273,0.31211,0.72987,0.58269,0.68951,1.94368,0.90691,0.000521891,0.000521891,0.000521891
6,36.3213,0.75023,0.77065,0.90529,0.97009,0.43896,0.87938,0.71525,0.73858,1.44679,0.90464,0.000615806,0.000615806,0.000615806
7,42.2433,0.72939,0.72315,0.89094,1,0.41213,0.83454,0.65926,0.76977,1.58039,0.90783,0.000705101,0.000705101,0.000705101
8,48.1905,0.69953,0.7121,0.88396,1,0.39263,0.90243,0.73971,0.63133,1.57745,0.8708,0.000789775,0.000789775,0.000789775
9,54.042,0.66286,0.6586,0.86433,1,0.37356,0.99425,0.81462,0.68107,1.50192,0.87461,0.000869827,0.000869827,0.000869827
10,60.1197,0.68094,0.67077,0.87498,1,0.45027,0.99464,0.83022,0.59746,1.30419,0.86229,0.000945259,0.000945259,0.000945259
11,66.2501,0.63728,0.61133,0.86074,1,0.95039,0.99412,0.85013,0.60818,1.07328,0.86815,0.00101607,0.00101607,0.00101607
12,72.3523,0.59833,0.57735,0.85349,0.9988,0.98486,0.995,0.84253,0.58095,0.84728,0.85657,0.00108226,0.00108226,0.00108226
13,78.3012,0.59781,0.57832,0.86114,0.99768,0.9558,0.995,0.85852,0.53138,0.80981,0.84912,0.00114383,0.00114383,0.00114383
14,84.1357,0.58193,0.57583,0.85009,0.9981,0.9994,0.995,0.85083,0.57211,0.68299,0.84661,0.00120078,0.00120078,0.00120078
15,90.014,0.56932,0.55609,0.84468,0.9945,1,0.995,0.884,0.49786,0.60066,0.82376,0.00120491,0.00120491,0.00120491
16,95.8695,0.54234,0.56653,0.84401,0.99418,1,0.995,0.88115,0.46298,0.53682,0.82038,0.0011719,0.0011719,0.0011719
17,101.765,0.52753,0.53914,0.83605,0.99421,1,0.995,0.88364,0.54324,0.52723,0.83026,0.00113889,0.00113889,0.00113889
18,107.82,0.51612,0.52707,0.83696,0.9947,1,0.995,0.88228,0.43097,0.50034,0.81029,0.00110589,0.00110589,0.00110589
19,113.655,0.52235,0.53213,0.83704,0.97952,1,0.995,0.89519,0.44435,0.49502,0.81021,0.00107288,0.00107288,0.00107288
20,119.572,0.47163,0.50643,0.82719,0.99671,1,0.995,0.89335,0.44444,0.41308,0.81377,0.00103987,0.00103987,0.00103987
21,125.543,0.49175,0.50847,0.82823,0.99844,1,0.995,0.89481,0.44027,0.4089,0.81319,0.00100687,0.00100687,0.00100687
22,131.607,0.50027,0.50137,0.82855,0.99742,1,0.995,0.89323,0.44575,0.40311,0.81585,0.000973861,0.000973861,0.000973861
23,137.607,0.48265,0.48616,0.83418,0.99781,1,0.995,0.91807,0.40119,0.39943,0.80553,0.000940855,0.000940855,0.000940855
24,143.621,0.46289,0.4782,0.82401,0.99892,1,0.995,0.91435,0.39382,0.37922,0.80868,0.000907848,0.000907848,0.000907848
25,149.628,0.4378,0.45741,0.82139,0.99862,1,0.995,0.91056,0.41259,0.36763,0.81114,0.000874842,0.000874842,0.000874842
26,155.589,0.45076,0.45416,0.83065,0.99783,1,0.995,0.91239,0.39124,0.37921,0.80618,0.000841835,0.000841835,0.000841835
27,161.555,0.44477,0.45724,0.81707,0.99793,1,0.995,0.88525,0.4473,0.38001,0.8177,0.000808828,0.000808828,0.000808828
28,167.541,0.42519,0.44485,0.81369,0.99815,1,0.995,0.91542,0.35336,0.34286,0.79832,0.000775822,0.000775822,0.000775822
29,173.543,0.39919,0.42624,0.81658,0.99805,1,0.995,0.92484,0.34636,0.33778,0.80016,0.000742815,0.000742815,0.000742815
30,179.495,0.39743,0.42279,0.81061,0.99848,1,0.995,0.91395,0.37211,0.31763,0.80065,0.000709809,0.000709809,0.000709809
31,185.757,0.40371,0.40402,0.8149,0.99845,1,0.995,0.91966,0.34011,0.30326,0.79218,0.000676802,0.000676802,0.000676802
32,191.884,0.38936,0.40288,0.81433,0.99803,1,0.995,0.94611,0.31163,0.30519,0.78629,0.000643795,0.000643795,0.000643795
33,198.098,0.38208,0.40652,0.81194,0.99786,1,0.995,0.94223,0.31477,0.30887,0.78556,0.000610789,0.000610789,0.000610789
34,204.266,0.38033,0.40172,0.80738,0.99869,1,0.995,0.95289,0.31984,0.30397,0.78621,0.000577782,0.000577782,0.000577782
35,210.252,0.37893,0.39561,0.81477,0.99894,1,0.995,0.94896,0.30908,0.29183,0.78488,0.000544776,0.000544776,0.000544776
36,216.824,0.37142,0.38658,0.80909,0.99892,1,0.995,0.96028,0.28896,0.2894,0.78225,0.000511769,0.000511769,0.000511769
37,223.167,0.37352,0.38178,0.80823,0.99884,1,0.995,0.95801,0.30389,0.29288,0.78153,0.000478762,0.000478762,0.000478762
38,229.423,0.3601,0.38299,0.81139,0.99865,1,0.995,0.94652,0.30128,0.293,0.78292,0.000445756,0.000445756,0.000445756
39,235.797,0.3511,0.3683,0.8067,0.99859,1,0.995,0.93871,0.29992,0.29016,0.78246,0.000412749,0.000412749,0.000412749
40,242.056,0.35111,0.36807,0.80401,0.99864,1,0.995,0.93445,0.30389,0.28362,0.7816,0.000379743,0.000379743,0.000379743
41,253.554,0.32881,0.44109,0.78726,0.99884,1,0.995,0.94787,0.26634,0.27194,0.77988,0.000346736,0.000346736,0.000346736
42,259.603,0.31707,0.41069,0.78775,0.99838,1,0.995,0.93688,0.29675,0.29605,0.78452,0.000313729,0.000313729,0.000313729
43,265.659,0.30892,0.42178,0.78061,0.99859,1,0.995,0.95009,0.27296,0.28602,0.781,0.000280723,0.000280723,0.000280723
44,271.727,0.29696,0.39818,0.78738,0.99894,1,0.995,0.95097,0.25633,0.27507,0.77851,0.000247716,0.000247716,0.000247716
45,277.81,0.29656,0.39409,0.77743,0.99898,1,0.995,0.94874,0.26399,0.27462,0.77861,0.00021471,0.00021471,0.00021471
46,283.995,0.27727,0.37795,0.77882,0.99892,1,0.995,0.95314,0.25455,0.27369,0.78016,0.000181703,0.000181703,0.000181703
47,289.933,0.27118,0.37764,0.77733,0.99859,1,0.995,0.95229,0.27399,0.27546,0.78154,0.000148696,0.000148696,0.000148696
