epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,175.757,1.33162,1.11617,1.33959,0.7792,0.76479,0.81389,0.58655,1.49892,1.41228,1.55365,0.000553925,0.000553925,0.000553925
2,362.287,1.11708,0.83624,1.21532,0.90336,0.77633,0.86885,0.67318,1.35116,1.09332,1.46712,0.00109861,0.00109861,0.00109861
3,548.17,1.0782,0.79877,1.19985,0.86407,0.77592,0.87101,0.66486,1.37792,1.14868,1.47438,0.00163229,0.00163229,0.00163229
4,733.25,1.0244,0.74523,1.17539,0.87932,0.8188,0.89484,0.69076,1.3237,0.97904,1.43393,0.00161749,0.00161749,0.00161749
5,919.131,1.01083,0.72504,1.16512,0.88405,0.83514,0.90101,0.71562,1.25818,0.88671,1.3868,0.00160099,0.00160099,0.00160099
6,1104.78,0.99068,0.6994,1.15496,0.87935,0.87932,0.92587,0.74509,1.20522,0.85589,1.37608,0.00158448,0.00158448,0.00158448
7,1290.37,0.93098,0.6452,1.12244,0.90161,0.86755,0.9286,0.74863,1.1529,0.74435,1.32484,0.00156798,0.00156798,0.00156798
8,1475.53,0.92052,0.63334,1.12174,0.89456,0.87273,0.92529,0.75209,1.14682,0.81567,1.3271,0.00155148,0.00155148,0.00155148
9,1660.63,0.88455,0.61336,1.10679,0.8972,0.88669,0.93491,0.75169,1.1536,0.7312,1.33063,0.00153497,0.00153497,0.00153497
10,1845.76,0.87209,0.60153,1.0967,0.90665,0.8806,0.93185,0.77647,1.09318,0.71361,1.29638,0.00151847,0.00151847,0.00151847
11,2031.41,0.88006,0.60625,1.09924,0.89895,0.86842,0.92903,0.76952,1.07864,0.7379,1.28426,0.00150197,0.00150197,0.00150197
12,2216.21,0.83853,0.57257,1.07909,0.90795,0.89288,0.93785,0.78078,1.04186,0.68224,1.22969,0.00148546,0.00148546,0.00148546
13,2401.45,0.83978,0.57585,1.07953,0.93082,0.86549,0.93153,0.77531,1.07479,0.73838,1.29922,0.00146896,0.00146896,0.00146896
14,2586.17,0.832,0.5611,1.07371,0.91211,0.88934,0.94402,0.78968,1.06566,0.68243,1.26756,0.00145246,0.00145246,0.00145246
15,2771.73,0.81479,0.55016,1.06653,0.92907,0.88668,0.94194,0.78615,1.05486,0.67433,1.27457,0.00143595,0.00143595,0.00143595
16,2957.01,0.80602,0.54517,1.0699,0.91397,0.90891,0.94037,0.78738,1.04342,0.64845,1.27179,0.00141945,0.00141945,0.00141945
17,3141.62,0.79622,0.53664,1.06087,0.91941,0.89342,0.94223,0.79313,0.9984,0.65518,1.2314,0.00140295,0.00140295,0.00140295
18,3326.66,0.78248,0.53362,1.05066,0.91398,0.89959,0.94465,0.79746,1.01577,0.64731,1.23426,0.00138644,0.00138644,0.00138644
19,3511.92,0.7862,0.52431,1.04989,0.91734,0.89699,0.94137,0.79413,0.99321,0.64167,1.22058,0.00136994,0.00136994,0.00136994
20,3696.21,0.7708,0.51928,1.05061,0.93404,0.87161,0.93859,0.79373,1.01753,0.66065,1.23231,0.00135344,0.00135344,0.00135344
21,3880.95,0.77994,0.51765,1.04753,0.91153,0.89574,0.93927,0.78957,1.01714,0.65836,1.25157,0.00133693,0.00133693,0.00133693
22,4078.59,0.79214,0.52537,1.05707,0.91881,0.89979,0.9441,0.7959,0.99162,0.62632,1.23041,0.00132043,0.00132043,0.00132043
23,4297.34,0.74887,0.49993,1.03463,0.92769,0.91088,0.95245,0.80301,0.97582,0.59417,1.20206,0.00130393,0.00130393,0.00130393
24,4572.55,0.72459,0.48303,1.02461,0.92929,0.89727,0.9459,0.79962,0.99461,0.61868,1.22068,0.00128742,0.00128742,0.00128742
25,4832.75,0.7317,0.48467,1.02194,0.91514,0.90422,0.94964,0.80545,0.97473,0.60021,1.21368,0.00127092,0.00127092,0.00127092
26,5085.29,0.72785,0.48694,1.02453,0.92998,0.90867,0.95058,0.80626,0.98048,0.60022,1.21657,0.00125442,0.00125442,0.00125442
27,5328.13,0.72134,0.47937,1.01872,0.93571,0.90494,0.94853,0.80899,0.95857,0.57899,1.19098,0.00123791,0.00123791,0.00123791
28,5577.58,0.70964,0.47036,1.01641,0.93633,0.90872,0.95372,0.80871,0.95459,0.56627,1.1987,0.00122141,0.00122141,0.00122141
29,5830.21,0.70597,0.46461,1.00994,0.93281,0.90043,0.95033,0.80738,0.94552,0.58126,1.1938,0.00120491,0.00120491,0.00120491
30,6079.26,0.71707,0.47603,1.02006,0.91942,0.91161,0.95009,0.80685,0.97171,0.57823,1.19887,0.0011884,0.0011884,0.0011884
31,6322.21,0.69706,0.46494,1.00886,0.92614,0.90953,0.95188,0.81352,0.93617,0.57089,1.18221,0.0011719,0.0011719,0.0011719
32,6530.9,0.71015,0.46984,1.01602,0.92308,0.90924,0.95157,0.805,0.96656,0.59738,1.21663,0.0011554,0.0011554,0.0011554
33,6778.7,0.69522,0.45495,1.00545,0.92764,0.9107,0.95298,0.81229,0.92285,0.55117,1.1656,0.00113889,0.00113889,0.00113889
34,7022.83,0.69716,0.45893,1.0083,0.92707,0.91779,0.94858,0.80612,0.94968,0.5574,1.19709,0.00112239,0.00112239,0.00112239
35,7263.21,0.68864,0.4567,1.00488,0.9358,0.91643,0.95448,0.81649,0.92054,0.55412,1.16782,0.00110589,0.00110589,0.00110589
36,7505.64,0.66098,0.43474,0.99007,0.93872,0.90609,0.95515,0.81212,0.93225,0.57336,1.19588,0.00108938,0.00108938,0.00108938
37,7749.78,0.70257,0.45662,1.00886,0.94028,0.90566,0.95405,0.81211,0.93165,0.56075,1.17187,0.00107288,0.00107288,0.00107288
38,7999.87,0.69134,0.45078,1.00389,0.94727,0.90694,0.95503,0.81765,0.92009,0.54577,1.15861,0.00105638,0.00105638,0.00105638
39,8214.88,0.66963,0.43927,0.99274,0.93199,0.91654,0.95393,0.81386,0.92495,0.55378,1.17605,0.00103987,0.00103987,0.00103987
40,8406.43,0.66608,0.43946,0.99439,0.93899,0.90486,0.95515,0.82113,0.89375,0.55297,1.16406,0.00102337,0.00102337,0.00102337
41,8599.87,0.6768,0.43876,0.99657,0.92868,0.9222,0.95513,0.81729,0.9236,0.53862,1.19579,0.00100687,0.00100687,0.00100687
42,8790.57,0.67222,0.43551,0.99468,0.94446,0.90901,0.95503,0.81975,0.90076,0.53216,1.16263,0.000990365,0.000990365,0.000990365
43,8981.87,0.64619,0.42208,0.97713,0.94336,0.90506,0.95717,0.81957,0.9074,0.52263,1.16166,0.000973861,0.000973861,0.000973861
